station_id,STATE_UT,DISTRICT,GAVI,GAVI_forecast_1y,GAVI_forecast_3y,FUTURE_ALERT_1y,FUTURE_ALERT_3y
Rajasthan_27.4653_73.6161,Rajasthan,Nagaur,36.842105263158075,24.210526315789537,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Rajasthan_25.1333_76.9,Rajasthan,Baran,20.000000000000018,4.0000000000000036,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Rajasthan_25.7458_71.6628,Rajasthan,Barmer,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Rajasthan_29.3472_73.6625,Rajasthan,Anupgarh,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_25.8917_83.2,Uttar Pradesh,Azamgarh,9.523809523809534,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Rajasthan_24.3572_74.3536,Rajasthan,Chittorgarh,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_28.7314_78.2822,Uttar Pradesh,Amroha,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_26.1675_81.9086,Uttar Pradesh,Amethi,48.837209302325576,38.60465116279068,18.13953488372092,EARLY_DEPLETION_WARNING,FUTURE_CRITICAL
Uttar Pradesh_28.6589_78.6597,Uttar Pradesh,Moradabad,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_28.5583_79.0125,Uttar Pradesh,Rampur,17.647058823529438,21.176470588235354,28.23529411764707,FUTURE_CRITICAL,STABLE
Madhya Pradesh_21.6519_78.8028,Madhya Pradesh,Pandhurna,8.823529411764675,1.604278074866261,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Rajasthan_23.4211_74.2919,Rajasthan,Banswara,15.78947368421052,15.78947368421052,15.78947368421052,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_28.6133_78.3589,Uttar Pradesh,Amroha,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_28.52_77.39,Uttar Pradesh,Gautam Buddha Nagar,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Assam_27.7028_94.8558,Assam,Dhemaji,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Madhya Pradesh_22.4333_79.1722,Madhya Pradesh,Chhindwara,9.80392156862745,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_27.9167_79.93,Uttar Pradesh,Shahjahanpur,23.809523809523814,10.47619047619046,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Punjab_31.275_76.375,Punjab,Rupnagar,25.0,9.999999999999998,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_26.8278_80.8153,Uttar Pradesh,Lucknow,41.463414634146325,29.75609756097558,6.341463414634097,EARLY_DEPLETION_WARNING,FUTURE_CRITICAL
Uttar Pradesh_26.9783_79.495,Uttar Pradesh,Kannauj,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Assam_27.2167_94.1083,Assam,Lakhimpur,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Haryana_29.4_76.65,Haryana,Jind,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_27.0222_80.7417,Uttar Pradesh,Lucknow,42.22222222222223,30.666666666666686,7.555555555555548,EARLY_DEPLETION_WARNING,FUTURE_CRITICAL
Uttar Pradesh_27.05_83.7333,Uttar Pradesh,Mahrajganj,3.125000000000011,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Rajasthan_27.6333_76.3333,Rajasthan,Kotputli-Behror,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_27.6153_78.2722,Uttar Pradesh,Hathras,49.99999999999998,39.99999999999999,19.99999999999997,STABLE,FUTURE_CRITICAL
Uttar Pradesh_27.2244_79.2861,Uttar Pradesh,Mainpuri,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Rajasthan_26.975_71.7528,Rajasthan,Jaisalmer,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
