STATE_UT,DISTRICT,total_stations,future_critical_1y,future_critical_3y,early_warning_1y,recovery_expected_1y,avg_current_gavi,avg_forecast_1y_gavi,avg_forecast_3y_gavi
Kerala,Kasaragod,101,35,36,0,1,56.294694918755575,56.90483896612202,57.735969723880025
Kerala,Wayanad,76,28,28,0,1,58.133723651066944,57.81784018276553,57.18655653241825
Goa,North Goa,41,28,29,0,0,24.25442529454806,21.41992144408225,17.359852737760352
Kerala,Pathanamthitta,58,27,27,0,0,36.792681385004485,36.02652580439106,36.31553645093016
Rajasthan,Hanumangarh,26,21,22,0,0,13.304594159734345,13.07946370496437,12.629202795424423
Rajasthan,Jaisalmer,37,19,18,0,2,40.43984728492082,40.1626000767263,40.389928344099964
Kerala,Thiruvananthapuram,46,19,19,0,0,52.525738894744286,52.6373127035256,52.81820854325043
Kerala,Ernakulam,44,19,20,0,0,51.37827593960699,51.41380751169682,51.732850333203984
Kerala,Kozhikode,51,18,19,0,0,57.33475563421272,56.78011495466738,56.00943199790061
Kerala,Kollam,48,17,17,0,0,52.4844526138184,52.57496622403347,52.75862391584408
Goa,South Goa,25,17,18,0,0,26.704023110759085,23.599047408004026,19.723895572039233
Kerala,Kottayam,42,16,16,0,0,55.90214557116366,55.686366726863874,55.939902185444865
Kerala,Idukki,42,16,17,0,0,58.075205508631655,57.558405156194276,56.87202667354173
Kerala,Alappuzha,35,16,16,0,0,49.42456140350877,49.15634721724947,48.619918844730876
Kerala,Malappuram,38,16,16,0,1,53.98507518558285,54.48793259252331,55.133860676480204
Kerala,Kannur,38,15,15,0,0,55.0680167785431,55.45168501089554,56.53800074194811
West Bengal,Jalpaiguri,27,14,14,0,1,36.60878128865459,36.94949252033006,38.64425349701951
Rajasthan,Barmer,24,14,14,0,1,27.275264765201324,29.161739813897714,32.24402475633964
Kerala,Palakkad,45,13,14,0,1,60.757723775959626,60.31980918979519,59.25330573177531
Uttarakhand,Udam Singh Nagar,29,12,12,0,0,42.684134998140856,41.745860946280786,40.59178868818919
Punjab,Faridkot,18,12,12,0,0,30.627129769286633,30.67954215557701,31.798476275600454
Andhra Pradesh,Visakhapatnam,15,11,13,0,0,23.06058538028666,19.761869710740083,15.887271094479663
Rajasthan,Jhalawar,24,11,11,0,1,40.471955764405244,39.53019770878473,38.90514266595377
Jammu and Kashmir,Jammu,31,11,13,0,0,47.57397183242604,45.843941937178634,42.773680520353146
Rajasthan,Pratapgarh,20,11,11,0,1,32.561020125431774,33.30348623267298,36.265870846325214
West Bengal,Darjeeling,25,11,14,1,2,48.234666051228395,46.44274576034807,42.62507433281627
Punjab,Bathinda,13,10,11,0,0,16.50887573964497,15.835798816568047,14.489644970414206
Rajasthan,Kota,15,10,10,0,0,19.306851199261065,18.379529733040165,18.00425187996345
Haryana,Sirsa,21,10,10,0,0,36.550043791889046,36.15308283619996,36.241277846757505
Rajasthan,Banswara,19,10,11,0,1,28.606653314987938,27.882021978624195,27.149415199023196
Rajasthan,Bundi,11,10,10,0,0,7.934925698083592,6.521462386124037,5.039619250145563
Madhya Pradesh,Jabalpur,26,9,11,2,1,54.43029875428036,52.397543798774784,49.68491742956121
Rajasthan,Tonk,15,9,10,0,0,32.013593956317514,30.580747686338963,27.602060796099373
Rajasthan,Baran,15,9,10,0,0,33.567743277682425,31.162256697550813,28.67772031889679
Andhra Pradesh,Srikakulam,10,8,8,0,0,18.760374832663988,15.940438521763818,13.505050505050509
Rajasthan,Ganganagar,16,8,7,0,1,35.07067348568473,37.63624580127042,41.37163944429953
Uttarakhand,Haridwar,32,8,11,0,0,58.38203365896254,57.60979489456609,56.05912131642141
Jammu and Kashmir,Rajouri,13,8,8,0,0,26.16183648143278,26.077319014661313,26.520172193006513
Kerala,Thrissur,30,8,8,0,0,65.89858906525573,65.82186948853617,65.3915343915344
Rajasthan,Chittorgarh,12,8,8,0,0,31.33431964726566,28.405197491657102,24.835910614300833
Rajasthan,Bikaner,23,8,8,0,4,56.258668820603006,58.1993116523546,59.736024844720504
Uttarakhand,Dehradun,36,7,7,0,0,66.64209274675808,67.75610008005683,69.24893026949466
Andhra Pradesh,Kakinada,10,7,7,0,0,25.116407791388152,23.95667438904379,21.637207584355068
Rajasthan,Sikar,11,7,7,0,1,35.31427577798541,35.57105592819871,36.4192949907235
Rajasthan,Udaipur,20,7,7,0,0,46.671098264744025,47.912678419763836,49.57527573115828
Jammu and Kashmir,Kathua,15,7,7,0,1,38.57162143943754,39.42440807383336,40.309468522112205
Jharkhand,Dumka,12,7,7,0,0,38.095446581354366,37.34844992761819,36.89206678616345
Haryana,Karnal,11,7,7,0,0,44.70931328142917,39.68053130005668,37.87878787878788
Assam,Biswanath,8,7,7,0,0,5.000000000000004,4.374999999999996,3.125000000000022
Assam,Karbi Anglong,26,7,7,0,3,58.21965720620324,59.89068012288814,61.97046812269824
Assam,Lakhimpur,15,7,7,0,1,40.69172932330827,42.81858813700918,46.93341687552213
Rajasthan,Bharatpur,13,7,7,0,0,29.42368864407845,29.218811839501498,30.481299033023177
Rajasthan,Dungarpur,14,7,8,0,0,27.33515487843613,27.832918185844253,29.943774653531886
Haryana,Bhiwani,23,6,8,0,0,49.61593426027033,49.132182323241395,47.03746427849109
Punjab,Jalandhar,8,6,6,0,1,19.454205643939044,19.79539745563568,22.48062015503876
Rajasthan,Dausa,10,6,7,1,1,27.71043926074422,26.592742268722827,23.387960529578017
Punjab,Tarn Taran,7,6,6,0,0,9.099278809268066,6.223040594683985,4.260651629072684
Rajasthan,Beawar,14,6,6,0,0,45.15272389332647,43.54669078321523,43.625591907745786
Rajasthan,Alwar,8,6,6,0,0,11.743291884816752,11.960029839815505,12.393505749813011
Punjab,Moga,6,6,6,0,0,3.44827586206897,2.043422733077917,0.0
Punjab,Pathankot,12,6,5,0,0,26.483613070832202,27.5101278434079,29.563157388559294
Rajasthan,Anupgarh,7,6,6,0,0,14.285714285714286,14.285714285714286,14.285714285714286
Rajasthan,Churu,18,6,7,0,1,46.9479465909226,47.401163726860176,48.3176109245123
Andhra Pradesh,Bapatla,7,5,6,0,0,17.3015873015873,16.472663139329804,14.81481481481481
West Bengal,Nadia,5,5,5,0,0,18.71212121212124,9.000000000000039,1.6666666666666696
Haryana,Jind,11,5,5,0,1,51.39760023253075,50.86974852166052,48.56719367588934
Jharkhand,Pakur,8,5,6,0,0,31.261631870346662,26.8994759804619,26.81405308958126
Punjab,Kapurthala,5,5,5,0,0,13.98199608610567,8.934507501630794,2.8681017612524418
Haryana,Panchkula,13,5,6,0,2,43.448466339285204,44.19082089677623,45.40523578985118
Punjab,Ludhiana,8,5,6,0,0,20.343137254901983,19.56188725490199,17.999387254902004
Assam,Marigaon,11,5,4,0,1,46.19121783662135,48.51975871568348,51.06267556894516
Punjab,Hoshiarpur,12,5,5,0,0,36.528663586584685,33.49169789754782,29.573783479447382
Uttar Pradesh,Sonbhadra,10,5,5,0,4,40.52544501274084,45.80399274047187,49.44827586206897
Rajasthan,Sawai Madhopur,12,5,5,0,0,41.50574116039711,39.52348490097264,38.13472995788129
Rajasthan,Jodhpur (Gramin),18,5,5,0,3,50.65626855911584,53.12674547941759,57.74397333840039
Rajasthan,Ajmer,9,5,5,0,0,41.80951191311042,39.956797568842404,38.83073395967144
Rajasthan,Karauli,13,5,5,0,1,47.248784547995115,44.88745104947339,40.54665589179167
Assam,Golaghat,6,4,4,0,0,36.186299081035926,37.427579365079374,38.15575396825397
Rajasthan,Deeg,8,4,4,0,0,30.921717171717177,29.88436447811448,27.809659090909097
Rajasthan,Jaipur (Gramin),5,4,4,0,0,23.807836387567075,20.39774946123028,15.006147037128102
Rajasthan,Didwana-Kuchaman,7,4,4,0,0,43.093192269825686,41.17556007639941,39.474062202877874
Rajasthan,Khairthal-Tijara,4,4,4,0,0,6.1538461538461595,3.461538461538469,0.0
Rajasthan,Kotputli-Behror,4,4,4,0,0,0.0,0.0,0.0
Uttar Pradesh,Pilibhit,8,4,4,0,1,33.82440476190477,33.903769841269856,33.854166666666664
Tripura,South Tripura,12,4,5,1,0,42.841407265949954,42.69101321475015,42.482817704943145
Uttar Pradesh,Jhansi,12,4,4,0,0,54.21935125060125,54.87396534792368,54.66804202741702
Uttar Pradesh,Lucknow,12,4,6,2,0,54.60464445220543,52.995788312861485,49.35072560682317
Andhra Pradesh,Parvathipuram Manyam,7,4,4,0,0,30.765818880572983,28.731593456417816,25.09604304100791
Assam,Cachar,10,4,5,0,0,48.87675221603793,47.37675865800866,44.81427154195011
Punjab,Mansa,7,4,5,0,0,25.343915343915345,24.51877047115143,23.265306122448994
Assam,Dhemaji,13,4,3,0,2,43.547563547563556,47.69938394938395,56.00302475302476
Madhya Pradesh,Balaghat,19,4,4,0,0,66.35500939825671,67.22988243859388,66.6160699554529
Punjab,Patiala,8,4,4,0,0,44.920045045045036,45.3611111111111,46.74999999999999
Madhya Pradesh,Sidhi,21,4,5,2,0,55.18266722369384,52.877159634340174,48.56376350325186
Punjab,Amritsar,7,4,4,0,0,28.90753850506173,26.922509894646122,25.26905499041723
Madhya Pradesh,Tikamgarh,15,4,4,0,1,63.13586528836907,64.5133658165389,64.1246827146595
Nagaland,Dimapur,11,4,4,0,1,46.71014864946435,50.27577327220239,52.641736497058
Madhya Pradesh,Chhatarpur,22,4,4,1,0,64.32972789502902,64.48898116682969,64.72456902559033
Madhya Pradesh,Mauganj,8,4,5,0,1,32.70208231909876,33.155622351865304,32.715584622912196
Haryana,Jhajjar,12,4,4,0,0,55.76277757435977,56.89344044297244,60.462714058144165
Haryana,Kaithal,8,4,5,0,0,33.158120227085746,32.98395202705548,32.04125615763547
Jharkhand,Ramgarh,10,4,4,0,0,32.05180784128152,32.00754143517302,32.102158806106175
Haryana,Ambala,11,4,4,0,1,55.500094198802955,56.951622186198954,59.55067170992566
Jammu and Kashmir,Samba,21,4,6,0,1,50.86208024545249,50.870901036684245,49.8464118765203
Haryana,Sonipat,16,4,4,0,1,67.92728423839682,68.49675013839018,67.24109528258101
Haryana,Panipat,7,4,4,0,0,41.763944542809504,37.81005532603706,33.98390954555338
Haryana,Palwal,8,4,4,0,0,38.35622710622712,36.47108085151564,32.70078834209271
West Bengal,Paschim Bardhaman,28,4,9,3,1,68.43139007773165,67.05636744716035,62.79319302433617
Andhra Pradesh,Alluri Sitharama Raju,11,4,5,0,0,49.393289637192076,49.9216230923548,50.512089536479785
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaRavulapalem,5,3,4,0,0,14.205334307636093,12.840904477733119,10.112044817927165
Uttar Pradesh,Moradabad,4,3,3,0,0,11.8890977443609,10.724728487886381,13.157894736842108
Uttar Pradesh,Firozabad,4,3,3,0,0,33.281250000000014,29.036458333333353,25.0
Uttar Pradesh,Amroha,4,3,3,0,0,10.71428571428572,10.267857142857142,9.37500000000002
Tripura,Unakoti,8,3,3,0,0,43.292748917748916,42.488356137909705,40.16528486394557
Telangana,Suryapet,10,3,3,0,1,54.50819565636499,56.499104389550624,57.51388888888889
Telangana,Mancherial,4,3,3,0,0,23.846153846153843,26.61782661782662,30.494505494505482
Rajasthan,Sanchore,6,3,3,0,1,27.340237503452073,29.410504859220662,30.59999999999997
Rajasthan,Salumbar,11,3,5,0,0,35.052614628149385,35.581854928445836,37.29247138338047
Rajasthan,Rajsamand,22,3,3,0,0,59.8123483528266,61.83341174350981,64.87605482866978
Rajasthan,Kekri,8,3,3,0,0,41.977626966046266,39.99957460640661,37.74981909347652
Andhra Pradesh,West Godavari,5,3,4,0,0,26.965996168582375,23.209025117071096,16.945083014048528
Andhra Pradesh,Vizianagaram,8,3,3,0,0,36.21597489065208,32.16970467373196,26.391979054706535
Rajasthan,Dudu,21,3,4,0,0,71.61052051574147,70.35735153423659,68.94853673771551
Assam,Dhubri,6,3,4,0,0,45.26354627872656,42.130056323604705,37.16248506571086
Assam,Bongaigaon,9,3,3,0,0,55.59378237224814,57.340857476843894,59.125605976633665
Punjab,Sangrur,3,3,3,0,0,0.0,0.0,0.0
Punjab,Rupnagar,10,3,4,0,0,52.852962032550934,50.42506215443633,48.27948967093441
Assam,Sonitpur,8,3,2,0,0,46.734329696791,48.775690374834156,52.858411730920444
Jharkhand,Lohardaga,10,3,3,0,1,45.51938445622657,46.083976141212986,45.914633712660034
Jharkhand,Koderma,6,3,3,0,1,35.54332921979981,36.58026613908967,36.39528771881714
Jharkhand,Jamtara,9,3,1,0,0,38.259570679706954,42.683861358858216,50.42133160604965
Punjab,Ferozepur,7,3,3,0,0,48.39733333074896,45.80902685911945,43.02441846303738
Punjab,Barnala,3,3,3,0,0,3.801169590643268,0.5198180636777128,0.0
Madhya Pradesh,Singrauli,11,3,4,1,0,48.79868538187555,46.844553840886604,42.93629075890871
Madhya Pradesh,Morena,5,3,3,0,1,37.64533463605276,39.826086956521735,40.0
Madhya Pradesh,Khandwa (East Nimar),15,3,4,0,0,75.96437518420277,74.1566091954023,71.16714559386972
Delhi,North West,7,3,3,0,0,36.16212886900124,37.7186236813566,39.90995431989221
Madhya Pradesh,Harda,8,3,4,1,0,57.646642948367095,53.658730158730165,49.75925925925926
Madhya Pradesh,Bhind,13,3,3,0,0,68.3650377414427,68.03063042737635,68.6045593492402
Jharkhand,West Singhbhum,5,3,3,0,0,26.216161616161617,24.388732563732557,20.73387445887446
Jharkhand,Saraikela Kharsawan,5,3,3,0,0,38.95524578136464,39.22587701421157,39.767139479905424
Andhra Pradesh,Ntr,7,3,4,0,0,32.71919879062735,29.396888384983615,24.84977324263038
Andhra Pradesh,Guntur,8,3,3,0,0,51.27687740693196,52.77253304331289,57.107046070460704
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaI. Polavaram,3,3,3,0,0,4.761904761904767,1.9841269841269884,0.0
Andhra Pradesh,Anakapalli,7,3,3,0,0,35.6282188988956,35.15474361339024,34.792588364016936
Haryana,Rohtak,7,2,2,0,0,56.35116115411682,54.10352646805849,52.09125029322074
Haryana,Rewari,4,2,2,0,0,53.57142857142857,50.0,45.3125
Jharkhand,Sahebganj,7,2,2,0,0,55.555752735876965,56.24694370501824,57.017080745341616
Uttarakhand,Nainital,8,2,2,0,0,71.49512577038543,70.74423668544489,69.34876543209876
West Bengal,Howrah,11,2,2,0,0,70.30303030303031,71.27272727272727,73.2121212121212
Madhya Pradesh,Barwani,7,2,3,0,1,58.49936812669733,60.80970690553654,60.34985422740525
Chandigarh,Chandigarh,8,2,2,0,0,64.68825579012092,62.995187191654196,60.603368176538915
Karnataka,Haveri,3,2,3,0,0,14.245014245014247,10.933048433048434,4.309116809116809
Madhya Pradesh,Damoh,6,2,2,0,1,59.2989417989418,58.010582010582,55.4074074074074
Madhya Pradesh,Gwalior,15,2,2,0,3,73.7279717422582,75.98215710145139,77.18826474398979
Uttar Pradesh,Mainpuri,3,2,2,0,0,16.666666666666668,15.000000000000005,11.66666666666667
Haryana,Kurukshetra,3,2,3,0,0,17.846153846153907,11.23809523809527,5.714285714285743
Andhra Pradesh,Palnadu,10,2,2,0,0,67.09150149235435,67.416628767469,67.02051740291134
Andhra Pradesh,Sri Potti Sriramulu Nellore Muthukur,2,2,2,0,0,16.5909090909091,14.520202020202039,10.378787878787875
Punjab,Malerkotla,2,2,2,0,0,0.0,0.0,0.0
Assam,Karimganj,6,2,2,0,0,42.963346369143466,43.25219500038341,44.573939881910896
Rajasthan,Bhilwara,15,2,4,0,1,56.4662309796507,56.827557794729046,56.95109437383033
Uttar Pradesh,Auraiya,4,2,2,0,0,52.17529711375212,47.11021505376344,43.74999999999999
Uttar Pradesh,Basti,3,2,2,0,0,23.333333333333318,19.365079365079353,13.095238095238082
Uttar Pradesh,Ballia,8,2,1,0,0,48.71538527691778,49.4926936417842,51.04731037151702
Uttar Pradesh,Azamgarh,5,2,2,0,0,43.4733893557423,42.777777777777786,45.196078431372555
Jharkhand,East Singhbum,5,2,2,0,0,42.5548172757475,42.48386858619416,43.50476190476191
Punjab,Shahid Bhagat Singh Nagar Nawanshahr,2,2,2,0,0,18.218623481781385,12.463450292397699,1.2820512820512775
Tripura,Gomati,4,2,2,0,0,35.64814814814814,36.07253086419752,36.921296296296276
Punjab,Sri Muktsar Sahib,9,2,3,0,0,47.424752377867925,46.88922812242366,45.745080196330456
Arunachal Pradesh,Papum Pare,9,2,3,0,0,58.92477570738439,60.38727858293075,63.31228433402345
Jharkhand,Hazaribagh,7,2,2,0,1,53.40652332361516,56.27945821185618,61.57889941690962
Telangana,Yadadri Bhuvanagiri,8,2,2,0,1,49.906837042031256,54.100356546196174,62.33665700342405
Jharkhand,Chatra,3,2,2,0,0,21.47215865751335,18.524572300316006,12.629399585921327
Meghalaya,East Garo Hills,9,2,2,0,0,68.49117619757455,67.01505260973785,65.45169432295334
Chhattisgarh,Surajpur,2,2,2,0,0,16.548295454545443,3.352272727272715,0.0
Punjab,Fatehgarh Sahib,9,2,4,2,0,56.65456862825284,52.256165699148156,45.60360935360936
Punjab,Fazilka,11,2,3,0,0,63.53970741901776,60.31501125789919,54.76077741702741
Assam,Hailakandi,4,2,2,0,2,45.90097402597402,51.76846590909091,55.925324675324674
Madhya Pradesh,Rewa,13,2,2,0,3,64.29713105563029,68.3921572517713,71.43025814727422
Uttar Pradesh,Budaun,2,2,2,0,0,0.0,0.0,0.0
Delhi,North,8,2,3,0,1,49.405489273968,48.33999256305461,43.74868168091036
Madhya Pradesh,Indore,12,2,2,0,0,80.76143292820716,79.89616495016821,79.64361641547397
Uttar Pradesh,Gautam Buddha Nagar,4,2,2,0,0,50.0,50.0,50.0
Uttar Pradesh,Etawah,3,2,2,0,0,42.424242424242415,41.212121212121204,38.787878787878775
Madhya Pradesh,Khargone (West Nimar),13,2,2,0,3,77.6221310225966,81.10005220689634,84.52307692307691
Uttar Pradesh,Etah,5,2,3,0,0,42.48680823680824,37.835800085800095,29.783783783783782
Uttar Pradesh,Hardoi,5,2,2,0,0,57.777777777777786,59.25925925925926,60.0
Uttar Pradesh,Ghazipur,4,2,3,0,0,30.169172932330827,28.86904761904762,26.268796992481214
Uttar Pradesh,Kannauj,2,2,2,0,0,0.0,0.0,0.0
Karnataka,Mysuru,3,2,2,0,1,10.256410256410254,13.831708197905378,20.982304080895627
Telangana,Nirmal,7,2,2,0,0,58.067866554007274,60.16306970997802,63.48767515611865
Uttarakhand,Uttar Kashi,4,2,2,0,1,39.2494349764828,39.05840215895095,38.25581395348837
West Bengal,South 24 Parganas,5,2,2,0,1,56.81818181818181,59.68181818181817,62.9090909090909
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaAinavilli,4,2,2,0,0,37.60521393500117,34.41177616709531,28.917757774140753
Uttar Pradesh,Sambhal,2,2,2,0,0,0.0,0.0,0.0
Andhra Pradesh,Kurnool,10,2,2,0,1,73.44154084397988,74.77793908891469,75.64179248935346
Andhra Pradesh,Krishna,4,2,2,0,0,41.66313632891173,40.66642359423108,38.46638655462185
