STATE_UT,DISTRICT,total_stations,total_records,critical_alerts,depletion_alerts,avg_gavi,stressed_ratio
West Bengal,Uttar Dinajpur,7,60,9,5,47.287342287342284,100.0
Andhra Pradesh,Alluri Sitharama Raju,11,109,14,8,52.14799067141207,100.0
Andhra Pradesh,Anakapalli,7,69,4,8,48.79935758368252,100.0
Andhra Pradesh,Ananthapuramu,4,40,7,2,52.74105765439151,100.0
Andhra Pradesh,Annamayya,5,46,3,4,58.021964166930246,100.0
Andhra Pradesh,Bapatla,7,69,9,2,56.90539937527889,100.0
Andhra Pradesh,Chittoor,3,21,1,0,60.472906762457534,100.0
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaAinavilli,4,28,2,3,62.93505127091753,100.0
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaAmalapuram,3,21,1,2,48.94179894179894,100.0
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaAmbajipeta,2,14,4,1,49.04761904761905,100.0
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaAtreyapuram,1,6,0,0,54.54545454545454,100.0
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaI. Polavaram,3,21,7,0,46.89067546210403,100.0
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaKothapeta,2,18,1,0,63.80899293942772,100.0
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaMalikipuram,2,14,0,0,58.92857142857143,100.0
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaMamidikuduru,1,7,1,0,45.45454545454546,100.0
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaMandapeta,1,8,0,1,54.99999999999999,100.0
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaMummidivaram,2,17,2,0,49.405822935234696,100.0
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaPamarru,1,10,0,0,66.78571428571429,100.0
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaRavulapalem,5,50,5,0,58.34096943125076,100.0
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaRazole,1,10,1,0,49.00000000000001,100.0
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaSakhinetipalle,1,10,1,1,52.0,100.0
Andhra Pradesh,East Godavari,10,86,5,6,52.9137387325694,100.0
Andhra Pradesh,East GodavariAnaparthy,1,4,0,0,33.33333333333334,100.0
Andhra Pradesh,East GodavariGokavaram,2,8,2,0,47.570332480818415,100.0
Andhra Pradesh,Eluru,4,38,2,3,56.11504723346829,100.0
Andhra Pradesh,Guntur,8,80,7,4,54.881512088147204,100.0
Andhra Pradesh,Kakinada,10,97,8,9,53.142954220505246,100.0
Uttar Pradesh,Saharanpur,7,50,7,2,51.54984516805894,100.0
Uttar Pradesh,Sambhal,3,24,5,0,55.71418520891451,100.0
Uttar Pradesh,Sant Kabir Nagar,4,35,3,4,49.065934065934066,100.0
Uttar Pradesh,Shahjahanpur,2,15,3,1,46.190476190476176,100.0
Uttar Pradesh,Shamli,3,24,6,1,50.88507012063183,100.0
Uttar Pradesh,Shrawasti,11,108,19,10,47.17082844533825,100.0
Uttar Pradesh,Siddharthnagar,8,77,5,4,58.54933927594026,100.0
Uttar Pradesh,Sitapur,3,25,6,1,50.205938375350144,100.0
Uttar Pradesh,Meerut,5,54,6,3,50.90638528138528,100.0
Uttar Pradesh,Mirzapur,3,25,0,1,66.44114832535885,100.0
Uttar Pradesh,Moradabad,5,48,11,3,43.406986954047646,100.0
Uttar Pradesh,Muzaffarnagar,7,57,12,9,40.3231868162616,100.0
Uttar Pradesh,Pilibhit,10,91,11,6,49.03493941955482,100.0
Uttar Pradesh,Prayagraj,8,66,7,2,53.17276638561396,100.0
Uttar Pradesh,Rae Bareli,8,76,12,5,50.78277541884731,100.0
Uttar Pradesh,Rampur,2,15,1,3,35.367965367965354,100.0
Uttar Pradesh,Kushinagar,1,10,1,1,43.18181818181818,100.0
Uttar Pradesh,Lalitpur,12,110,13,8,51.9254208126005,100.0
Uttar Pradesh,Lucknow,13,121,16,13,47.355906036617384,100.0
Uttar Pradesh,Mahoba,6,42,6,1,53.23450981881825,100.0
Uttar Pradesh,Mahrajganj,3,27,7,3,37.34479211011778,100.0
Uttar Pradesh,Mainpuri,3,29,2,1,55.91718542351542,100.0
Uttar Pradesh,Mathura,8,79,9,4,51.72402977802826,100.0
Uttar Pradesh,Mau,4,36,6,2,47.563378886908296,100.0
Uttar Pradesh,Jaunpur,6,47,3,3,54.21218041436295,100.0
Uttar Pradesh,Jhansi,12,115,18,11,46.71260441725743,100.0
Uttar Pradesh,Kannauj,3,25,6,2,42.8447204968944,100.0
Uttar Pradesh,Kanpur Dehat,4,37,6,3,50.5409596941855,100.0
Uttar Pradesh,Kanpur Nagar,7,66,6,3,55.74924614697342,100.0
Uttar Pradesh,Kasganj,2,18,0,1,60.68866571018652,100.0
Uttar Pradesh,Kaushambi,5,41,8,3,41.200226179233226,100.0
Uttar Pradesh,Kheri,2,12,0,1,68.26923076923077,100.0
Bihar,Aurangabad,8,71,8,6,51.54404041069903,100.0
Bihar,Banka,7,63,7,5,54.421332114667464,100.0
Bihar,Begusarai,26,232,38,25,42.90028552786512,100.0
Bihar,Bhagalpur,9,80,6,8,50.97799859128787,100.0
Bihar,Bhojpur,13,119,8,6,55.581800285522625,100.0
Bihar,Buxar,17,148,12,6,58.81878662558172,100.0
Bihar,Darbhanga,5,47,1,4,57.02251941294351,100.0
Bihar,Gaya,5,41,0,0,61.92625450088052,100.0
Assam,Sivasagar,3,28,4,0,51.88492063492064,100.0
Assam,Sonitpur,9,85,6,5,58.09776604140108,100.0
Assam,Tamulpur,2,15,2,2,49.84615384615385,100.0
Assam,Tinsukia,11,100,19,8,50.617529088558506,100.0
Assam,Udalguri,10,84,3,3,53.54827014747959,100.0
Assam,West Karbi Anglong,5,42,2,4,53.357055740956675,100.0
Bihar,Araria,6,56,2,0,58.18020768913626,100.0
Bihar,Arwal,9,82,8,2,51.84783216201897,100.0
Assam,Kamrup,8,73,12,5,50.43196402785444,100.0
Assam,Kamrup Metro,8,68,11,3,53.5725446886497,100.0
Assam,Karbi Anglong,29,256,25,14,54.25331595238611,100.0
Assam,Karimganj,7,66,12,5,49.33727370321573,100.0
Assam,Lakhimpur,15,133,28,6,46.29881407780102,100.0
Assam,Marigaon,12,106,7,10,53.560934136190816,100.0
Assam,Nagaon,12,108,17,10,52.31103201221406,100.0
Assam,Nalbari,1,8,0,0,67.74193548387098,100.0
Assam,Dhemaji,13,112,6,9,49.422007439339374,100.0
Assam,Dhubri,6,58,4,5,52.54375198692414,100.0
Assam,Dibrugarh,4,40,5,0,57.9112554112554,100.0
Assam,Goalpara,12,109,19,10,48.345174837754435,100.0
Assam,Golaghat,6,53,12,4,50.41556377135892,100.0
Assam,Hailakandi,5,42,7,2,48.642032570604,100.0
Assam,Hojai,3,29,2,3,53.108701025831174,100.0
Assam,Jorhat,11,99,9,6,52.88122725898825,100.0
Bihar,Sitamarhi,10,93,5,5,55.402404688805106,100.0
Bihar,Siwan,6,57,12,2,45.77149573279604,100.0
Bihar,Supaul,21,206,27,11,50.37991058391904,100.0
Bihar,Vaishali,9,96,15,10,49.634866198994125,100.0
Chandigarh,Chandigarh,8,75,16,3,45.338563938850875,100.0
Chhattisgarh,Balod,29,257,21,11,58.878797042129364,100.0
Chhattisgarh,Balodabazar-Bhatapara,30,253,28,21,52.452086481049804,100.0
Chhattisgarh,Balrampur Ramanujganj,15,114,9,9,52.285423343543705,100.0
Bihar,Purbi Champaran,11,80,12,2,47.37401868007713,100.0
Bihar,Purnia,4,37,1,4,50.66932135897653,100.0
Bihar,Rohtas,8,73,9,4,50.97202908110088,100.0
Bihar,Saharsa,18,168,14,8,54.246080347164266,100.0
Bihar,Samastipur,9,86,6,5,50.827446062532005,100.0
Bihar,Saran,8,70,7,4,53.57845012226559,100.0
Bihar,Sheikhpura,7,64,10,4,48.44637605552128,100.0
Bihar,Sheohar,1,8,1,0,51.973684210526315,100.0
Bihar,Madhepura,16,161,13,8,52.5334782476666,100.0
Bihar,Madhubani,5,46,1,4,59.25559947299078,100.0
Bihar,Munger,9,83,4,9,55.669061117419005,100.0
Bihar,Muzaffarpur,9,74,11,5,52.44510427556681,100.0
Bihar,Nalanda,15,136,17,9,49.15891305862995,100.0
Bihar,Nawada,8,63,2,2,57.58618046210475,100.0
Bihar,Pashchim Champaran,8,67,16,6,42.02790161745385,100.0
Bihar,Patna,11,88,5,5,54.67155109560081,100.0
Bihar,Gopalganj,7,65,4,7,49.33431334747124,100.0
Bihar,Jamui,13,120,6,9,54.27467619583614,100.0
Bihar,Jehanabad,10,85,3,3,59.01816624036878,100.0
Bihar,Kaimur (Bhabua),6,54,8,4,52.10188849719667,100.0
Bihar,Katihar,10,102,8,7,51.5276101893749,100.0
Bihar,Khagaria,19,176,23,19,45.306932478134854,100.0
Bihar,Kishanganj,5,46,2,0,50.79721397065443,100.0
Bihar,Lakhisarai,9,75,12,4,50.225251957736525,100.0
Chhattisgarh,KorbaKorba,2,3,1,0,49.931623931623925,100.0
Chhattisgarh,Korea,23,193,33,22,46.851571129573166,100.0
Chhattisgarh,Mahasamund,25,147,23,9,53.93149062027262,100.0
Chhattisgarh,MahasamundBagbahara,5,5,0,0,34.64355174032593,100.0
Chhattisgarh,MahasamundBasna,2,2,1,0,36.956521739130444,100.0
Chhattisgarh,MahasamundMahasamund,3,7,0,1,55.998075998076,100.0
Chhattisgarh,MahasamundPithora,4,11,1,2,45.63762510616329,100.0
Chhattisgarh,MahasamundSaraipali,3,12,0,1,62.091503267973856,100.0
Chhattisgarh,Khairagarh Chhuikhadan GandaiKhairagarh,3,29,4,5,48.78505912988672,100.0
Chhattisgarh,Kondagaon,7,10,3,0,38.427605677680646,100.0
Chhattisgarh,KondagaonKeshkal,3,22,2,1,53.37991659014387,100.0
Chhattisgarh,KondagaonKondagaon,4,26,1,2,59.62104612029649,100.0
Chhattisgarh,KondagaonPharasgaon,3,15,1,2,61.52829131652661,100.0
Chhattisgarh,Korba,58,434,49,38,51.553560266422224,100.0
Chhattisgarh,KorbaKartala,5,26,2,1,57.59504631251541,100.0
Chhattisgarh,KorbaKatghora,2,5,0,0,76.2111801242236,100.0
Chhattisgarh,Jashpur,37,328,48,28,47.45701310726146,100.0
Chhattisgarh,JashpurKunkuri,5,6,0,1,64.40273786717752,100.0
Chhattisgarh,Kabeerdham,12,26,6,0,55.43150123619993,100.0
Chhattisgarh,KabeerdhamBodla,2,5,0,0,62.59740259740259,100.0
Chhattisgarh,KabeerdhamKawardha,4,28,4,2,59.278069641466644,100.0
Chhattisgarh,KabeerdhamPandariya,3,16,0,0,49.64894775036284,100.0
Chhattisgarh,KabeerdhamS.Lohara,3,24,1,2,55.58894861529695,100.0
Chhattisgarh,Khairagarh Chhuikhadan GandaiChhuikhadan,3,26,2,0,64.43652501344809,100.0
Chhattisgarh,Bastar,13,112,13,9,51.67453483603145,100.0
Chhattisgarh,Bemetara,28,230,34,13,49.890514786288996,100.0
Chhattisgarh,Bilaspur,47,405,32,33,54.842984451381774,100.0
Chhattisgarh,Dhamtari,34,287,23,21,52.964125895995245,100.0
Chhattisgarh,Durg,30,247,17,11,57.45495451205335,100.0
Chhattisgarh,Gariyaband,8,58,7,2,51.41975912864123,100.0
Chhattisgarh,Gaurela Pendra Marwahi,17,135,20,4,53.87907561993347,100.0
Chhattisgarh,Janjgir-Champa,31,284,36,23,53.80940177744954,100.0
Delhi,Shahdara,1,7,2,0,36.92022263450834,100.0
Delhi,South,3,22,6,3,41.5125682124943,100.0
Delhi,South East,2,14,2,0,58.19160997732426,100.0
Delhi,South West,10,86,27,12,42.790980534369396,100.0
Delhi,West,8,67,15,10,43.09373679633275,100.0
Goa,North Goa,41,401,48,33,52.43180554118028,100.0
Goa,South Goa,25,239,48,13,53.55814450582697,100.0
Gujarat,Ahmedabad,14,115,17,15,46.705803321217765,100.0
Chhattisgarh,Surguja,24,218,47,16,47.463421424866425,100.0
Chhattisgarh,Uttar Bastar Kanker,15,125,16,8,52.3333238962468,100.0
Delhi,Central,7,56,4,4,55.825233939729735,100.0
Delhi,East,4,36,9,2,43.72669187427301,100.0
Delhi,Nazul Land,2,15,0,0,68.44755244755245,100.0
Delhi,New Delhi,7,57,13,9,46.70505297158222,100.0
Delhi,North,13,88,11,7,51.295049603658065,100.0
Delhi,North West,7,50,12,6,43.908547506724226,100.0
Chhattisgarh,NarayanpurNarayanpur,1,2,1,0,4.651162790697666,100.0
Chhattisgarh,Raigarh,56,463,38,40,52.64410030785139,100.0
Chhattisgarh,RaigarhDharamjaigarh,4,16,0,2,51.735424901185766,100.0
Chhattisgarh,Raipur,35,302,28,12,53.79377837412066,100.0
Chhattisgarh,Rajnandgaon,34,280,22,22,57.064336370609816,100.0
Chhattisgarh,Sakti,9,80,6,6,51.8694390408398,100.0
Chhattisgarh,Sarangarh Bilaigarh,17,141,14,10,48.35586102134293,100.0
Chhattisgarh,Surajpur,26,240,36,17,51.55993161231695,100.0
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,5,43,2,0,65.22872473191191,100.0
Chhattisgarh,Manendragarh Chirmiri Bharatpur McbManendragarh,3,26,9,3,34.445854111009325,100.0
Chhattisgarh,Mohla Manpur Ambagarh ChoukiA.Chowki (Td),1,9,0,0,68.72427983539096,100.0
Chhattisgarh,Mungeli,6,21,0,2,56.30383188724558,100.0
Chhattisgarh,MungeliLormi,5,41,5,2,56.84637739107255,100.0
Chhattisgarh,MungeliMungeli,3,18,1,0,56.993175580446554,100.0
Chhattisgarh,MungeliPathariya,3,10,0,0,74.9126984126984,100.0
Chhattisgarh,Narayanpur,1,3,1,0,12.790697674418597,100.0
Gujarat,Porbandar,30,284,38,17,56.06425626777736,100.0
Gujarat,Rajkot,21,182,16,9,59.498461621100994,100.0
