station_id,STATE_UT,DISTRICT,BLOCK,LATITUDE,LONGITUDE,DATE,WL_MBGL
Adilabad_19.3441_78.3579,Adilabad,Boath,Boath,19.34406,78.35794,2018-01-01,3.9
Adilabad_19.3441_78.3579,Adilabad,Boath,Boath,19.34406,78.35794,2019-01-01,3.7
Adilabad_19.3441_78.3579,Adilabad,Boath,Boath,19.34406,78.35794,2021-01-01,3.7
Adilabad_19.5004_78.6622,Adilabad,Indervelly,Indravalli,19.50043,78.66224,2018-01-01,4.1
Adilabad_19.5124_78.5853,Adilabad,Indervelly,Danora,19.51242,78.58533,2018-01-01,4.5
Adilabad_19.5304_78.5135,Adilabad,Gudihatnur,Gudihathur,19.53039,78.51345,2018-01-01,4.3
Adilabad_19.5304_78.5135,Adilabad,Gudihatnur,Gudihathur,19.53039,78.51345,2019-01-01,4.5
Adilabad_19.581_78.4937,Adilabad,Gudihatnur,Sitagondi,19.58098,78.49373,2018-01-01,4.3
Adilabad_19.6377_78.5083,Adilabad,Mavala,Mavala (Adilabad),19.63772,78.50835,2018-01-01,7.2
Adilabad_19.7186_78.7609,Adilabad,Bela,Bela,19.71864,78.76094,2019-01-01,4.8
Adilabad_19.7193_78.7624,Adilabad,Bela,Bela,19.71932,78.7624,2018-01-01,5.8
Adilabad_19.7193_78.7624,Adilabad,Bela,Bela,19.71932,78.7624,2019-01-01,4.8
Adilabad_19.7193_78.7624,Adilabad,Bela,Bela,19.71932,78.7624,2021-01-01,5.7
Adilabad_19.7355_78.6421,Adilabad,Jainath,Jainath,19.73547,78.64206,2018-01-01,6.0
Agra_26.8167_77.45,Agra,Jagner,Gangapur Basai,26.81667,77.45,2016-01-31,8.2
Agra_26.8369_77.4717,Agra,Jagner,Gangapur Basai,26.83694,77.47167,2019-01-31,1.7
Agra_26.8583_77.6,Agra,Jagner,Mevli,26.85833,77.6,2016-01-31,12.4
Agra_26.8583_77.6,Agra,Jagner,Mevli,26.85833,77.6,2019-01-31,10.4
Agra_26.8664_77.6014,Agra,Jagner,Jagner,26.86639,77.60139,2016-01-31,12.1
Agra_26.8664_77.6014,Agra,Jagner,Jagner,26.86639,77.60139,2019-01-31,14.2
Agra_26.87_78.5892,Agra,Bah,Bah,26.87,78.58917,2016-01-31,33.4
Agra_26.87_78.5892,Agra,Bah,Bah,26.87,78.58917,2019-01-31,39.9
Agra_26.935_77.9344,Agra,Saiyan,Saiyan,26.935,77.93444,2016-01-31,27.9
