station_id,STATE_UT,DISTRICT,BLOCK,LATITUDE,LONGITUDE,DATE,WL_MBGL,year,delta_wl
Andhra Pradesh_13.1956_79.004,Andhra Pradesh,Chittoor,Bangarupalem,13.19563,79.00402,2015-01-01,8.1,2015,
Andhra Pradesh_13.1956_79.004,Andhra Pradesh,Chittoor,Bangarupalem,13.19563,79.00402,2016-01-01,3.2,2016,-4.8999999999999995
Andhra Pradesh_13.1956_79.004,Andhra Pradesh,Chittoor,Bangarupalem,13.19563,79.00402,2017-01-01,8.0,2017,4.8
Andhra Pradesh_13.1956_79.004,Andhra Pradesh,Chittoor,Bangarupalem,13.19563,79.00402,2018-01-01,4.0,2018,-4.0
Andhra Pradesh_13.1956_79.004,Andhra Pradesh,Chittoor,Bangarupalem,13.19563,79.00402,2022-01-01,2.8,2022,-1.2000000000000002
Andhra Pradesh_13.1956_79.004,Andhra Pradesh,Chittoor,Bangarupalem,13.19563,79.00402,2023-01-01,5.1,2023,2.3
Andhra Pradesh_13.1956_79.004,Andhra Pradesh,Chittoor,Bangarupalem,13.19563,79.00402,2024-01-01,7.2,2024,2.1000000000000005
Andhra Pradesh_13.2075_79.0981,Andhra Pradesh,Chittoor,Chittoor,13.2075,79.09812,2015-01-01,7.8,2015,
Andhra Pradesh_13.2075_79.0981,Andhra Pradesh,Chittoor,Chittoor,13.2075,79.09812,2016-01-01,2.4,2016,-5.4
Andhra Pradesh_13.2075_79.0981,Andhra Pradesh,Chittoor,Chittoor,13.2075,79.09812,2017-01-01,4.1,2017,1.6999999999999997
Andhra Pradesh_13.2075_79.0981,Andhra Pradesh,Chittoor,Chittoor,13.2075,79.09812,2018-01-01,3.0,2018,-1.0999999999999996
Andhra Pradesh_13.2075_79.0981,Andhra Pradesh,Chittoor,Chittoor,13.2075,79.09812,2022-01-01,2.6,2022,-0.3999999999999999
Andhra Pradesh_13.2075_79.0981,Andhra Pradesh,Chittoor,Chittoor,13.2075,79.09812,2023-01-01,1.7,2023,-0.9000000000000001
Andhra Pradesh_13.2075_79.0981,Andhra Pradesh,Chittoor,Chittoor,13.2075,79.09812,2024-01-01,4.8,2024,3.0999999999999996
Andhra Pradesh_13.4262_79.4531,Andhra Pradesh,Chittoor,Karvetinagar,13.42624,79.45314,2015-01-01,10.7,2015,
Andhra Pradesh_13.4262_79.4531,Andhra Pradesh,Chittoor,Karvetinagar,13.42624,79.45314,2016-01-01,2.2,2016,-8.5
Andhra Pradesh_13.4262_79.4531,Andhra Pradesh,Chittoor,Karvetinagar,13.42624,79.45314,2017-01-01,5.6,2017,3.3999999999999995
Andhra Pradesh_13.4262_79.4531,Andhra Pradesh,Chittoor,Karvetinagar,13.42624,79.45314,2018-01-01,5.1,2018,-0.5
Andhra Pradesh_13.4262_79.4531,Andhra Pradesh,Chittoor,Karvetinagar,13.42624,79.45314,2022-01-01,3.4,2022,-1.6999999999999997
Andhra Pradesh_13.4262_79.4531,Andhra Pradesh,Chittoor,Karvetinagar,13.42624,79.45314,2023-01-01,3.8,2023,0.3999999999999999
