station_id,STATE_UT,DISTRICT,BLOCK,LATITUDE,LONGITUDE,DATE,WL_MBGL,year,delta_wl,min_wl,max_wl,GAVI,GAVI_CATEGORY,ALERT,critical_flag,critical_persist,ALERT_CONFIRMED,SUGGESTED_ACTION,ALERT_SEVERITY,is_stressed_station
Andhra Pradesh_13.1956_79.004,Andhra Pradesh,Chittoor,Bangarupalem,13.19563,79.00402,2015-01-01,8.1,2015,,2.8,8.1,0.0,Critical,CRITICAL_GROUNDWATER,1,1.0,NORMAL,Continue regular monitoring,NORMAL,True
Andhra Pradesh_13.1956_79.004,Andhra Pradesh,Chittoor,Bangarupalem,13.19563,79.00402,2016-01-01,3.2,2016,-4.9,2.8,8.1,92.45283018867923,Safe,SUDDEN_DROP,0,1.0,SUDDEN_DROP,Field verification required,MEDIUM,True
Andhra Pradesh_13.1956_79.004,Andhra Pradesh,Chittoor,Bangarupalem,13.19563,79.00402,2017-01-01,8.0,2017,4.8,2.8,8.1,1.8867924528301772,Critical,CRITICAL_GROUNDWATER,1,2.0,CRITICAL_GROUNDWATER,"Extraction restriction, emergency planning",CRITICAL,True
Andhra Pradesh_13.1956_79.004,Andhra Pradesh,Chittoor,Bangarupalem,13.19563,79.00402,2018-01-01,4.0,2018,-4.0,2.8,8.1,77.35849056603773,Safe,SUDDEN_DROP,0,1.0,SUDDEN_DROP,Field verification required,MEDIUM,True
Andhra Pradesh_13.1956_79.004,Andhra Pradesh,Chittoor,Bangarupalem,13.19563,79.00402,2022-01-01,2.8,2022,-1.2000000000000002,2.8,8.1,100.0,Safe,NORMAL,0,1.0,NORMAL,Continue regular monitoring,NORMAL,True
Andhra Pradesh_13.1956_79.004,Andhra Pradesh,Chittoor,Bangarupalem,13.19563,79.00402,2023-01-01,5.1,2023,2.3,2.8,8.1,56.60377358490567,Watch,RECOVERY_SIGNAL,0,0.0,RECOVERY_SIGNAL,Recharge success validation,POSITIVE,True
Andhra Pradesh_13.1956_79.004,Andhra Pradesh,Chittoor,Bangarupalem,13.19563,79.00402,2024-01-01,7.2,2024,2.1000000000000005,2.8,8.1,16.981132075471685,Critical,CRITICAL_GROUNDWATER,1,1.0,NORMAL,Continue regular monitoring,NORMAL,True
Andhra Pradesh_13.2075_79.0981,Andhra Pradesh,Chittoor,Chittoor,13.2075,79.09812,2015-01-01,7.8,2015,,1.7,7.8,0.0,Critical,CRITICAL_GROUNDWATER,1,1.0,NORMAL,Continue regular monitoring,NORMAL,True
Andhra Pradesh_13.2075_79.0981,Andhra Pradesh,Chittoor,Chittoor,13.2075,79.09812,2016-01-01,2.4,2016,-5.4,1.7,7.8,88.52459016393442,Safe,SUDDEN_DROP,0,1.0,SUDDEN_DROP,Field verification required,MEDIUM,True
Andhra Pradesh_13.2075_79.0981,Andhra Pradesh,Chittoor,Chittoor,13.2075,79.09812,2017-01-01,4.1,2017,1.6999999999999995,1.7,7.8,60.65573770491803,Watch,RECOVERY_SIGNAL,0,1.0,RECOVERY_SIGNAL,Recharge success validation,POSITIVE,True
Andhra Pradesh_13.2075_79.0981,Andhra Pradesh,Chittoor,Chittoor,13.2075,79.09812,2018-01-01,3.0,2018,-1.0999999999999996,1.7,7.8,78.68852459016394,Safe,NORMAL,0,0.0,NORMAL,Continue regular monitoring,NORMAL,True
Andhra Pradesh_13.2075_79.0981,Andhra Pradesh,Chittoor,Chittoor,13.2075,79.09812,2022-01-01,2.6,2022,-0.3999999999999999,1.7,7.8,85.24590163934425,Safe,NORMAL,0,0.0,NORMAL,Continue regular monitoring,NORMAL,True
Andhra Pradesh_13.2075_79.0981,Andhra Pradesh,Chittoor,Chittoor,13.2075,79.09812,2023-01-01,1.7,2023,-0.9000000000000001,1.7,7.8,100.0,Safe,NORMAL,0,0.0,NORMAL,Continue regular monitoring,NORMAL,True
