STATE_UT,total_stations,total_records,avg_gavi,critical_count,depletion_count,recovery_count,stressed_pct
Andhra Pradesh,214,2000,55.23489601065746,183,106,190,100.0
Arunachal Pradesh,22,186,53.38412233064321,28,12,1,100.0
Assam,233,1864,51.81081608766974,237,108,73,100.0
Bihar,2,4,50.0,0,0,0,100.0
Chandigarh,8,75,45.338563938850875,16,3,2,100.0
Chhattisgarh,577,1599,51.180551904568404,85,38,31,100.0
Delhi,63,448,47.83710165193169,92,40,22,100.0
Goa,66,640,52.85242274829053,96,46,25,100.0
Haryana,194,1517,49.60188407191597,232,109,100,100.0
Jammu and Kashmir,94,877,49.67511118101792,128,60,45,100.0
Jharkhand,144,1174,51.70726640203933,121,92,92,100.0
Karnataka,836,3736,51.96920854795874,295,126,315,100.0
Kerala,694,6573,51.82450704502082,1243,434,296,100.0
Madhya Pradesh,1059,4910,51.33153198843477,568,199,370,100.0
Maharashtra,282,642,50.35795413564779,17,11,5,100.0
Meghalaya,33,237,49.770971490309776,23,16,7,100.0
Nagaland,13,84,53.472362598180766,9,6,6,100.0
Puducherry,8,21,52.417582417582416,1,1,0,100.0
Punjab,182,1679,48.439197790473564,269,122,166,100.0
Rajasthan,669,4836,53.35953584625105,494,286,633,100.0
Tamil Nadu,318,871,50.859152210754715,49,15,19,100.0
Telangana,168,1417,57.569274434215465,101,66,169,100.0
TelanganaYadadri Bhuvanagiri,5,30,49.64484995438553,6,1,4,100.0
The Dadra And Nagar Haveli And Daman And Diu,4,8,50.0,0,0,0,100.0
Tiruchirappalli,5,17,54.75170184439742,1,0,2,100.0
Tirunelveli,14,37,57.53694537633426,0,1,1,100.0
Tirupathur,3,9,39.753764753764756,1,0,0,100.0
Tripura,53,384,47.94040328388527,61,31,17,100.0
Uttar Pradesh,399,2428,48.94893211877438,318,175,152,100.0
Uttarakhand,113,1152,52.56976908374199,162,80,100,100.0
West Bengal,340,1844,52.24315104562946,210,122,80,100.0
