station_id,mean_wl,min_wl,max_wl,std_wl
Andhra Pradesh_13.1956_79.004,5.485714285714286,2.8,8.1,2.268941435580751
Andhra Pradesh_13.2075_79.0981,3.7714285714285714,1.7,7.8,2.0629382651243557
Andhra Pradesh_13.4262_79.4531,5.0857142857142845,2.2,10.7,2.729119865102161
Andhra Pradesh_13.5609_79.2493,4.633333333333334,1.3,11.4,2.8779332862316322
Andhra Pradesh_13.6371_79.9008,1.8199999999999998,1.4,2.5,0.39944405810520645
Andhra Pradesh_13.6663_78.4184,8.36,0.9,12.6,4.051117815560978
Andhra Pradesh_13.8275_78.7878,5.67,2.9,11.0,2.3371635230195884
Andhra Pradesh_13.908_79.7315,1.26,0.1,3.2,1.001332445627658
Andhra Pradesh_13.9305_80.0384,2.7,0.8,7.2,1.9358460682605938
Andhra Pradesh_13.9495_78.6885,6.18,2.2,11.6,3.5514629223587404
Andhra Pradesh_13.9605_77.6761,1.26,0.3,1.9,0.5777350411544878
Andhra Pradesh_14.0249_78.5027,3.1599999999999997,0.8,9.6,2.6829502832184984
Andhra Pradesh_14.0722_79.891,4.74,0.8,9.0,2.3267526249641963
Andhra Pradesh_14.1211_79.9585,1.78,0.1,3.3,1.2925427136720344
Andhra Pradesh_14.1404_80.0066,2.0300000000000002,0.6,4.9,1.2454807193297783
Andhra Pradesh_14.1407_78.5903,8.049999999999999,3.2,14.4,3.7324254848556597
Andhra Pradesh_14.1919_79.8718,2.05,1.7,2.6,0.2838231060987734
Andhra Pradesh_14.2703_77.6254,9.31111111111111,3.1,20.1,5.462930633928196
Andhra Pradesh_14.2901_80.0947,2.95,1.7,3.7,0.6720615051218651
Andhra Pradesh_14.3031_79.7792,3.29,0.9,6.5,1.7672640499433645
Andhra Pradesh_14.349_80.0643,2.31,1.0,3.2,0.8157477823717602
Andhra Pradesh_14.4426_79.6046,8.23,2.0,14.4,5.405151863423143
Andhra Pradesh_14.4942_79.5195,2.0900000000000003,0.4,4.4,1.3803783700291905
Andhra Pradesh_14.5164_79.575,2.4899999999999998,0.3,6.6,1.9116310662189329
Andhra Pradesh_14.6169_79.6727,3.033333333333333,1.5,5.9,1.3592277219068187
Andhra Pradesh_14.6464_79.6136,4.54,1.0,11.3,3.0952293040168195
Andhra Pradesh_14.6617_77.4991,10.129999999999999,4.5,13.2,3.4338349148178664
Andhra Pradesh_14.6777_77.4562,5.76,1.0,9.9,2.8430031070448494
Andhra Pradesh_14.6795_79.5385,2.411111111111111,1.2,4.7,1.2504443654601796
Andhra Pradesh_14.6817_79.9738,3.78,1.3,9.0,2.2778157178412055
Andhra Pradesh_14.7186_79.2201,3.96,2.3,6.5,1.2825322174857399
Andhra Pradesh_14.7193_78.677,4.2555555555555555,2.0,8.4,2.2962529864493977
Andhra Pradesh_14.7253_78.7075,2.177777777777778,1.2,3.3,0.697814047181944
Andhra Pradesh_14.7334_80.0968,2.5300000000000002,1.3,3.5,0.7528464503321894
Andhra Pradesh_14.7541_77.712,3.8199999999999994,1.1,8.2,2.7695968419007606
Andhra Pradesh_14.766_80.0031,6.04,1.3,9.8,2.8194562123454467
Andhra Pradesh_14.791_79.9997,1.7600000000000002,0.2,3.0,0.8221921916437784
Andhra Pradesh_14.8209_78.8782,4.95,2.1,8.1,1.8975129921967746
Andhra Pradesh_14.832_78.9521,3.35,1.7,5.6,1.2249716550008638
Andhra Pradesh_14.8889_78.8807,8.129999999999999,4.1,11.7,2.8417717478127376
Andhra Pradesh_14.8948_78.924,5.09,1.8,11.3,3.452680118400777
Andhra Pradesh_15.1179_77.64,4.8,2.1,10.4,2.578974817851293
Andhra Pradesh_15.1831_79.2747,4.8545454545454545,0.4,9.7,2.840902545447005
Andhra Pradesh_15.2452_78.5058,3.4875,2.9,4.3,0.496955013773164
Andhra Pradesh_15.313_78.2271,5.214285714285714,1.2,12.0,3.596029556528779
Andhra Pradesh_15.5228_78.9861,4.6454545454545455,1.3,7.8,2.282263629103192
Andhra Pradesh_15.5579_79.107,6.036363636363637,4.5,6.9,0.9841470695711363
Andhra Pradesh_15.5622_79.0881,4.8100000000000005,1.5,7.0,2.2678673290609885
Andhra Pradesh_15.5884_79.8423,7.25,1.7,26.3,7.234677294500118
Andhra Pradesh_15.626_78.5344,1.2666666666666666,0.4,2.0,0.4873397172404481
Andhra Pradesh_15.8743_78.577,2.5833333333333335,0.5,5.7,1.8443607745413226
Andhra Pradesh_15.8832_78.6544,4.475,2.6,7.8,1.835950512871816
Andhra Pradesh_15.9159_80.4823,2.83,2.5,3.4,0.25841396591085736
Andhra Pradesh_15.9354_80.4451,2.1444444444444444,1.5,3.0,0.5317685377847939
Andhra Pradesh_15.9606_79.9626,2.19,1.0,4.6,1.1483805021759022
Andhra Pradesh_16.0209_80.9115,4.3,2.4,5.2,1.0469001862641922
Andhra Pradesh_16.0611_80.7012,2.27,1.8,2.8,0.3368151487751767
Andhra Pradesh_16.0698_80.6675,2.2600000000000002,1.6,2.6,0.3373096170846271
